Uuid,Answers,Members,Fully specified name:en,Short name:en,Data class,Data type,_version:1,_order:4
5f72aa03-1c8b-41e3-a0b3-039b27a49f49,"Alzheimer's;	
Diabetes;	
Hemorrhagic conditions, unspec.;",,Current Medical conditions,,Question,Coded,,
be6a2d82-ba9f-49ca-9179-96a4adb5186a,,"Chief Complaint;
Present History;	
Current Medical conditions;	
Current Medications;	
Past Medical History;	
ER General Notes, Allergies;	
Past Surgical History;	
Social History;	
Family history, Observation;",Physicians and General Practitioners Form,Physicians and General Practitioners Form,ConvSet,N/A,,
